# Simulation 2 (Up to date)
# 702 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
853.517,5.398,0.486,34.253
854.363,4.912,0.489,34.253
855.129,4.427,0.492,34.253
855.815,3.943,0.496,34.253
856.422,3.459,0.5,34.253
856.95,2.978,0.503,34.253
857.399,2.498,0.506,34.253
857.77,2.02,0.508,34.253
858.062,1.545,0.51,34.253
858.277,1.072,0.512,34.253
858.414,0.601,0.514,34.253
858.474,0.134,0.515,34.253
# Event APOGEE occurred at t=7.379 seconds
858.458,-0.33,0.512,34.253
858.367,-0.786,0.51,34.253
858.199,-1.258,0.509,34.253
857.954,-1.732,0.507,34.253
857.631,-2.204,0.504,34.253
857.231,-2.673,0.503,34.253
856.755,-3.139,0.501,34.253
856.201,-3.603,0.499,34.253
855.573,-4.063,0.496,34.253
854.869,-4.517,0.493,34.253
854.091,-4.967,0.49,34.253
853.24,-5.409,0.487,34.253
852.317,-5.844,0.485,34.253
851.323,-6.272,0.482,34.253
850.373,-6.648,0.48,34.253
849.48,-6.977,0.479,34.253
848.627,-7.273,0.478,34.253
847.799,-7.546,0.476,34.253
847.004,-7.794,0.475,34.253
846.23,-8.024,0.474,34.253
845.47,-8.241,0.473,34.253
844.722,-8.446,0.472,34.253
843.983,-8.64,0.471,34.253
843.248,-8.826,0.47,34.253
842.512,-9.007,0.469,34.253
841.765,-9.185,0.469,34.253
841.004,-9.361,0.468,34.253
840.229,-9.535,0.467,34.253
839.433,-9.709,0.467,34.253
838.599,-9.888,0.466,34.253
837.718,-10.072,0.465,34.253
836.799,-10.259,0.464,34.253
835.827,-10.452,0.463,34.253
834.789,-10.654,0.462,34.253
833.626,-10.878,0.462,34.253
832.276,-11.136,0.461,34.253
830.952,-11.388,0.46,34.253
829.633,-11.64,0.459,34.253
828.304,-11.895,0.459,34.253
826.947,-12.157,0.459,34.253
825.543,-12.428,0.459,34.253
824.069,-12.714,0.459,34.253
822.679,-12.983,0.459,34.253
821.625,-13.188,0.459,34.253
820.719,-13.363,0.459,34.253
819.892,-13.522,0.459,34.253
819.122,-13.669,0.459,34.253
818.401,-13.807,0.459,34.253
817.719,-13.937,0.459,34.253
817.068,-14.06,0.459,34.253
816.449,-14.176,0.459,34.253
815.858,-14.287,0.459,34.253
815.29,-14.393,0.459,34.253
814.743,-14.494,0.459,34.253
814.21,-14.592,0.459,34.253
813.689,-14.688,0.459,34.253
813.178,-14.781,0.459,34.253
812.676,-14.872,0.459,34.253
812.183,-14.961,0.459,34.253
811.696,-15.048,0.459,34.253
811.215,-15.134,0.459,34.253
810.739,-15.218,0.459,34.253
810.268,-15.3,0.459,34.253
809.8,-15.382,0.459,34.253
809.335,-15.462,0.459,34.253
808.869,-15.542,0.459,34.253
808.404,-15.622,0.459,34.253
807.936,-15.701,0.459,34.253
807.464,-15.78,0.459,34.253
806.986,-15.859,0.459,34.253
806.5,-15.939,0.459,34.253
806.003,-16.02,0.459,34.253
805.493,-16.103,0.459,34.253
804.967,-16.186,0.459,34.253
804.421,-16.272,0.459,34.253
803.854,-16.36,0.459,34.253
803.258,-16.451,0.459,34.253
802.629,-16.546,0.459,34.253
801.955,-16.645,0.459,34.253
801.223,-16.75,0.459,34.253
800.41,-16.863,0.459,34.253
799.479,-16.989,0.459,34.253
798.367,-17.133,0.459,34.253
796.966,-17.305,0.459,34.253
795.019,-17.523,0.459,34.253
793.105,-17.715,0.459,34.253
791.182,-17.882,0.459,34.253
789.204,-18.027,0.459,34.253
787.556,-18.126,0.459,34.253
786.282,-18.191,0.459,34.253
785.162,-18.239,0.459,34.253
784.137,-18.276,0.459,34.253
783.175,-18.306,0.459,34.253
782.259,-18.33,0.459,34.253
781.376,-18.349,0.459,34.253
780.523,-18.364,0.459,34.253
779.693,-18.376,0.459,34.253
778.881,-18.385,0.459,34.253
778.08,-18.393,0.459,34.253
777.28,-18.398,0.459,34.253
776.479,-18.402,0.459,34.253
775.673,-18.405,0.459,34.253
774.858,-18.408,0.459,34.253
774.028,-18.41,0.459,34.253
773.18,-18.412,0.459,34.253
772.308,-18.414,0.459,34.253
771.415,-18.416,0.459,34.253
770.498,-18.418,0.459,34.253
769.549,-18.421,0.459,34.253
768.56,-18.426,0.459,34.253
767.517,-18.432,0.459,34.253
766.397,-18.441,0.459,34.253
765.148,-18.455,0.459,34.253
763.668,-18.478,0.459,34.253
761.769,-18.514,0.459,34.253
759.103,-18.582,0.459,34.253
756.046,-18.687,0.459,34.253
752.971,-18.815,0.459,34.253
751.036,-18.903,0.459,34.253
749.475,-18.976,0.459,34.253
748.097,-19.043,0.459,34.253
746.838,-19.104,0.459,34.253
745.671,-19.161,0.459,34.253
744.565,-19.215,0.459,34.253
743.499,-19.266,0.459,34.253
742.456,-19.315,0.459,34.253
741.421,-19.363,0.46,34.253
740.368,-19.409,0.46,34.253
739.281,-19.454,0.46,34.253
738.14,-19.499,0.46,34.253
736.929,-19.542,0.46,34.253
735.617,-19.585,0.46,34.253
734.141,-19.626,0.46,34.253
732.364,-19.664,0.46,34.253
729.956,-19.697,0.46,34.253
726.723,-19.704,0.46,34.253
723.494,-19.665,0.46,34.253
720.367,-19.587,0.46,34.253
718.628,-19.527,0.46,34.253
717.141,-19.469,0.46,34.253
715.776,-19.411,0.46,34.253
714.487,-19.353,0.46,34.253
713.245,-19.295,0.46,34.253
712.025,-19.236,0.46,34.253
710.789,-19.177,0.46,34.253
709.517,-19.117,0.46,34.253
708.175,-19.054,0.46,34.253
706.715,-18.989,0.46,34.253
705.093,-18.92,0.46,34.253
703.272,-18.847,0.46,34.253
701.044,-18.768,0.46,34.253
697.973,-18.68,0.46,34.253
694.914,-18.616,0.46,34.253
691.864,-18.572,0.46,34.253
689.646,-18.549,0.46,34.253
687.662,-18.531,0.46,34.253
685.849,-18.515,0.46,34.253
684.153,-18.501,0.46,34.253
682.526,-18.485,0.46,34.253
680.901,-18.466,0.46,34.253
679.171,-18.442,0.46,34.253
677.234,-18.407,0.46,34.253
674.864,-18.353,0.46,34.253
671.861,-18.261,0.46,34.253
668.875,-18.144,0.46,34.253
665.91,-18.001,0.46,34.253
662.97,-17.838,0.46,34.253
660.216,-17.667,0.46,34.253
658.097,-17.529,0.46,34.253
656.187,-17.4,0.46,34.253
654.351,-17.276,0.46,34.253
652.478,-17.151,0.46,34.253
650.461,-17.02,0.46,34.253
648.105,-16.875,0.46,34.253
645.35,-16.718,0.46,34.253
642.619,-16.578,0.46,34.253
639.91,-16.455,0.46,34.253
637.22,-16.346,0.46,34.253
634.547,-16.249,0.46,34.253
632.077,-16.164,0.46,34.253
